date,hour_ini,kp,sun_spot_norm
2016-02-17,12.0,4.0,0.1583333333333333
2016-02-17,15.0,3.667,0.1583333333333333
2016-02-17,18.0,4.667,0.1583333333333333
2016-02-17,21.0,5.667,0.1583333333333333
2016-02-18,0.0,4.333,0.15
2016-02-18,3.0,5.0,0.15
2016-02-18,6.0,4.0,0.15
2016-02-18,9.0,4.333,0.15
2016-02-18,12.0,3.0,0.15
2016-02-18,15.0,3.333,0.15
2016-02-18,18.0,4.667,0.15
2016-02-18,21.0,3.333,0.15
2016-02-19,0.0,3.0,0.1916666666666666
2016-02-19,3.0,3.333,0.1916666666666666
2016-02-19,6.0,2.333,0.1916666666666666
2016-02-19,9.0,3.333,0.1916666666666666
2016-02-19,12.0,3.0,0.1916666666666666
2016-02-19,15.0,3.667,0.1916666666666666
2016-02-19,18.0,3.667,0.1916666666666666
2016-02-19,21.0,2.0,0.1916666666666666
2016-02-20,0.0,2.333,0.2166666666666666
2016-02-20,3.0,2.0,0.2166666666666666
2016-02-20,6.0,2.0,0.2166666666666666
2016-02-20,9.0,0.667,0.2166666666666666
2016-02-20,12.0,1.0,0.2166666666666666
2016-02-20,15.0,0.667,0.2166666666666666
2016-02-20,18.0,0.333,0.2166666666666666
2016-02-20,21.0,0.333,0.2166666666666666
2016-02-21,0.0,1.0,0.1958333333333333
2016-02-21,3.0,1.667,0.1958333333333333
2016-02-21,6.0,0.667,0.1958333333333333
2016-02-21,9.0,0.0,0.1958333333333333
2016-02-21,12.0,0.667,0.1958333333333333
2016-02-21,15.0,0.667,0.1958333333333333
2016-02-21,18.0,1.667,0.1958333333333333
2016-02-21,21.0,1.667,0.1958333333333333
2016-02-22,0.0,0.0,0.1416666666666666
2016-02-22,3.0,0.0,0.1416666666666666
2016-02-22,6.0,0.0,0.1416666666666666
2016-02-22,9.0,0.667,0.1416666666666666
2016-02-22,12.0,1.0,0.1416666666666666
2016-02-22,15.0,1.0,0.1416666666666666
2016-02-22,18.0,0.667,0.1416666666666666
2016-02-22,21.0,1.0,0.1416666666666666
2016-02-23,0.0,2.333,0.1541666666666666
2016-02-23,3.0,0.667,0.1541666666666666
2016-02-23,6.0,0.333,0.1541666666666666
2016-02-23,9.0,0.333,0.1541666666666666
2016-02-23,12.0,0.667,0.1541666666666666
2016-02-23,15.0,0.667,0.1541666666666666
2016-02-23,18.0,1.667,0.1541666666666666
2016-02-23,21.0,3.0,0.1541666666666666
2016-02-24,0.0,2.667,0.1416666666666666
2016-02-24,3.0,1.667,0.1416666666666666
2016-02-24,6.0,1.333,0.1416666666666666
2016-02-24,9.0,1.0,0.1416666666666666
2016-02-24,12.0,2.333,0.1416666666666666
2016-02-24,15.0,1.0,0.1416666666666666
2016-02-24,18.0,1.333,0.1416666666666666
2016-02-24,21.0,1.667,0.1416666666666666
2016-02-25,0.0,1.667,0.1083333333333333
